<<<<<<< HEAD
,Website,Domain,Comments
1463,Strategic Culture Foundation,strategic-culture.org,"right_center, "
1464,Stratfor,stratfor.com,"least_biased, "
1465,The Stream,stream.org,"pseudoscience, "
1466,Stars and Stripes,stripes.com,"least_biased, "
1467,Stubhill News,stubhillnews.com,"satire, "
1468,Student Daily News,studentnewsdaily.com,"right_center, "
1469,Stuppid,stuppid.com,"satire, satire, "
1470,Subject Politics,subjectpolitics.com,"questionable, fake, bias, "
1471,success-street,success-street.com,", fake news, fake, clickbait, "
1472,South Florida Sun-Sentinel,sun-sentinel.com,"right_center, "
1473,Sunday Sport,sundaysportonline.co.uk,"satire, "
1474,Sungress,sungress.com,"satire, "
1475,Sunlight Foundation,sunlightfoundation.com,"least_biased, "
1476,Supreme Patriot,supremepatriot.com,"questionable, fake news, fake, bias, "
1477,Sure News,surenews.com,"questionable, "
1478,surrealscoop,surrealscoop.com,", satire, "
1479,Sustainable Pulse,sustainablepulse.com,"pseudoscience, "
1480,TD Newswire,swampdrain.com,"questionable, "
1481,The Swedish Wire,swedishwire.com,"least_biased, "
1482,Syrian Observatory for Human Rights (SOHR),syriahr.com/en,"left_center, "
1483,Syria News,syrianews.com,"questionable, "
1484,TakePart,takepart.com,"left, "
1485,Talking Points Memo,talkingpointsmemo.com,"left, "
1486,Tallahassee Democrat,tallahassee.com,"right_center, "
1487,Tampa Bay Times,tampabay.com,"left_center, "
1488,Task and Purpose,taskandpurpose.com,"least_biased, "
1489,Russian News Agency-TASS,tass.com,"right_center, "
1490,Tax Foundation,taxfoundation.org,"right_center, "
1491,Tampa Tribune,tbo.com,"right_center, "
1492,The Century Foundation,tcf.org,"left_center, "
1493,tdtalliance,tdtalliance.com,", fake news, fake, "
1494,teaparty,teaparty.org,", some fake stories, fake, unreliable, "
1495,Tea Party Inc.,teaparty.org,"questionable, "
1496,Tea Party Patriots,teapartypatriots.org,"right, "
1497,Tea Party Tribune,teapartytribune.com,"right, "
1498,MIT Technology Review,technologyreview.com,"pro_science, "
1499,TechXplore,techxplore.com,"pro_science, "
1500,Teddy Stick,teddystick.com,"questionable, "
1501,TeleSUR,telesurtv.net/english,"left, "
1502,The Tennessean,tennessean.com,"right_center, "
1503,Texas Tribune,texastribune.org,"least_biased, "
1504,Tharawat Magazine,tharawat-magazine.com/#gs.a9CcWpc,"right_center, "
1505,thatviralfeed,thatviralfeed.net,", some fake stories, fake, unreliable, "
1506,The American Interest,the-american-interest.com,"right_center, "
1507,The Daily Buzz,the-daily.buzz,"left, "
1508,the-insider,the-insider.co,", fake news, fake, "
1509,The Japan News,the-japan-news.com,"right_center, "
1510,The Postillion,the-postillon.com,"satire, parody site, "
1511,The Age (Australia),theage.com.au,"left_center, "
1512,The American Cause,theamericancause.org,"right, "
1513,The American Conservative,theamericanconservative.com,"right_center, "
1514,theamericanindependent.wordpress,theamericanindependent.wordpress.com,", fake, bias, "
1515,The American Mirror,theamericanmirror.com,"questionable, "
1516,The Anti-Media,theantimedia.org,"pseudoscience, unreliable, bias, conspiracy, ex: http://theantimedia.org/cdc-admits-ebola-airborne/"
1517,The Australian,theaustralian.com.au,"right_center, "
1518,The Baffler,thebaffler.com,"left_center, "
1519,The Beaverton,thebeaverton.com,"satire, satire, "
1520,thebigriddle,thebigriddle.com,", some fake stories, fake, "
1521,The Blacksphere,theblacksphere.net,"right, "
1522,The Blaze,theblaze.com,"right, political, clickbait, "
1523,Bulletin of the Atomic Scientists,thebulletin.org,"least_biased, "
1524,The Bureau of Investigative Journalism,thebureauinvestigates.com,"least_biased, "
1525,The Canary (UK),thecanary.co,"left, "
1526,The Christian Left,thechristianleft.org,"left_center, "
1527,The College Fix,thecollegefix.com,"right, "
1528,The Common Sense Show,thecommonsenseshow.com,"pseudoscience, fake, conspiracy, "
1529,The Controversial Files,thecontroversialfiles.net,"pseudoscience, fake, clickbait, "
1530,The Conversation,theconversation.com/us,"least_biased, "
1531,The Daily Banter,thedailybanter.com,"left, "
1532,Daily Beast,thedailybeast.com,"left, political, "
1533,The Daily Mash,thedailymash.co.uk,"satire, satire, "
1534,The Daily News UK,thedailynewsuk.com,"satire, "
1535,The Daily Sheeple,thedailysheeple.com,"pseudoscience, conspiracy, bias, "
1536,The Daily Vox,thedailyvox.co.za,"left, "
1537,thedailywtf,thedailywtf.com,", satire, "
1538,The Diplomat Magazine,thediplomat.com,"least_biased, "
1539,The Duran,theduran.com,"questionable, unreliable, "
1540,theeconomiccollapseblog,theeconomiccollapseblog.com,", conspiracy, bias, "
1541,The Event Chronicle,theeventchronicle.com,"pseudoscience, conspiracy, junksci, clickbait, "
1542,theextinctionprotocol,theextinctionprotocol.com,", conspiracy, "
1543,The Federalist,thefederalist.com,"right, "
1544,thefederalistpapers,thefederalistpapers.org,", bias, conspiracy, "
1545,The Federalist Papers Project,thefederalistpapers.org,"questionable, "
1546,The Fifth Column,thefifthcolumnnews.com,"left_center, political, "
1547,The Fiscal Times,thefiscaltimes.com,"right_center, "
1548,The Forbidden Knowledge,theforbiddenknowledge.com,"pseudoscience, conspiracy, junksci, "
1549,The Free Patriot,thefreepatriot.org,"questionable, fake, bias, clickbait, "
1550,Freethought Project,thefreethoughtproject.com,"pseudoscience, unreliable, conspiracy, clickbait, "
1551,The Frisky,thefrisky.com,"left, "
1552,The Fucking News,thefuckingnews.com,"left, "
1553,The Gateway Pundit,thegatewaypundit.com,"questionable, bias, conspiracy, unreliable, "
1554,The Gazette (Cedar Rapids),thegazette.com,"right_center, "
1555,thegoldandoilguy.com/articles,thegoldandoilguy.com/articles,", unreliable, "
1556,GOD (Good Lord Above),thegoodlordabove.com,"satire, "
1557,TheGrio,thegrio.com,"left, "
1558,The Observer,theguardian.com/observer,"left_center, "
1559,The Guardian,theguardian.com/us,"left_center, "
1560,The Hard Times,thehardtimes.net,"satire, satire, "
1561,The Hill,thehill.com,"left_center, "
1562,The Horn News,thehornnews.com,"questionable, "
1563,The Humanist Magazine,thehumanist.com,"least_biased, "
1564,Institute for Humane Studies,theihs.org,"right_center, "
1565,theineptowl,theineptowl.com,", satire, "
1566,theinformedamerican,theinformedamerican.net,", unreliable, "
1567,The Intellectualist,theintellectualist.co,"left, "
1568,The Intercept,theintercept.com,"left_center, political, "
1569,The Internet Post,theinternetpost.net,"pseudoscience, fake news, fake, "
1570,The Jakarta Post,thejakartapost.com,"least_biased, "
1571,TheJournal.ie,thejournal.ie,"least_biased, "
1572,The Lapine,thelapine.ca,"satire, "
1573,The Last Great Stand,thelastgreatstand.com,"pseudoscience, fake, conspiracy, bias, "
1574,thelastlineofdefense,thelastlineofdefense.org,", parody site, satire, "
1575,The Resistance: The Last Line of Defense,thelastlineofdefense.org,"satire, "
1576,The Libertarian Republic,thelibertarianrepublic.com,"right_center, "
1577,The Liberty Beacon,thelibertybeacon.com,"pseudoscience, conspiracy, junksci, bias, "
1578,thelibertymill,thelibertymill.com,", unreliable, bias, conspiracy, "
1579,The Local (Norway),thelocal.no,"left_center, "
1580,themadisonmisnomer,themadisonmisnomer.com,", satire, "
1581,The Marshall Project,themarshallproject.org/#.qjbbuljBK,"least_biased, "
1582,The Militant,themilitant.com,"left, "
1583,The Mind Unleashed,themindunleashed.org,"pseudoscience, conspiracy, junksci, clickbait, "
1584,The Moderate Voice,themoderatevoice.com,"least_biased, "
1585,The Monthly (Australia),themonthly.com.au,"left_center, "
1586,themoralofthestory.us,themoralofthestory.us,", fake news, fake, "
1587,Moscow Times,themoscowtimes.com,"left_center, "
1588,themuslimissue.wordpress,themuslimissue.wordpress.com,", hate, conspiracy, "
1589,The Nation,thenation.com,"left, "
1590,The National (UAE),thenational.ae,"right_center, "
1591,thenationalmarijuananews,thenationalmarijuananews.com,", some fake stories, "
1592,thenet24h,thenet24h.com,", fake news, fake, "
1593,The New American,thenewamerican.com,"right, bias, "
1594,The New Civil Rights Movement,thenewcivilrightsmovement.com,"left, "
1595,The News (Mexico City),thenews.mx,"least_biased, "
1596,thenewsdoctors,thenewsdoctors.com,", bias, "
1597,The News Nerd,thenewsnerd.com,"satire, satire, "
1598,The News Tribune,thenewstribune.com,"left_center, "
1599,thenewyorkevening,thenewyorkevening.com,", imposter site, fake, "
1600,The Onion,theonion.com,"satire, satire, "
1601,The Oslo Times,theoslotimes.com,"left_center, "
1602,thephaser,thephaser.com,", conspiracy, "
1603,thepoke,thepoke.co.uk,", satire, "
1604,Political Insider,thepoliticalinsider.com,"right, some fake stories, conspiracy, bias, unreliable, "
1605,thepremiumnews,thepremiumnews.com,", fake news, "
1606,The Proud Liberal,theproudliberal.org,"questionable, "
1607,The Racket Report,theracketreport.com,"satire, fake, satire, I can't find disclaimers, but I think it's satirical "
1608,Real News Network,therealnews.com/t2,"left_center, "
1609,The Real Strategy,therealstrategy.com,"right, bias, conspiracy, hate, black lives matter content spews a lot of racist info"
1610,The Rebel,therebel.media,"right, "
1611,thereporterz,thereporterz.com,", fake, "
1612,The Rightists,therightists.com,"questionable, parody site, satire, publishes both biased and fake content"
1613,The Right Scoop,therightscoop.com,"right, fake, clickbait, no authors, no history, no about us, unverifiable data, etc."
1614,The Right Stuff,therightstuff.biz,"questionable, hate, "
1615,The Root,theroot.com,"left, "
1616,The Rundown Live,therundownlive.com/news,"pseudoscience, "
1617,The Science Post,thesciencepost.com,"satire, "
1618,The Seattle Tribune,theseattletribune.com,"satire, parody site, satire, "
1619,The Shovel,theshovel.com.au,"satire, satire, "
1620,The Skimm,theskimm.com,"least_biased, "
1621,theskunk,theskunk.org,", satire, "
1622,The Smoking Gun,thesmokinggun.com,"right_center, "
1623,The Spoof,thespoof.com,"satire, satire, "
1624,Toronto Star,thestar.com,"left_center, "
1625,thestatelyharold,thestatelyharold.com,", satire, "
1626,The Stranger,thestranger.com,"left_center, "
1627,The Sun,thesun.co.uk,"right, "
1628,The Sun Magazine,thesunmagazine.org,"left_center, "
1629,The Tab,thetab.com,"left_center, "
1630,thetimesoftheworld,thetimesoftheworld.com,", satire, "
1631,The Trumpet,thetrumpet.com,"pseudoscience, "
1632,The Trump Media,thetrumpmedia.com,"questionable, fake news, fake, "
1633,The Truth About Cancer,thetruthaboutcancer.com,"pseudoscience, junksci, "
1634,The Truth Division,thetruthdivision.com,"questionable, fake, bias, "
1635,The Truth Seeker,thetruthseeker.co.uk,"pseudoscience, fake, conspiracy, junksci, ex: NY orchestrated the asian tsunami in 2008!"
1636,thetruthwins,thetruthwins.com,", junksci, conspiracy, clickbait, "
1637,The Tyee,thetyee.ca,"left_center, "
1638,The Unreal Times,theunrealtimes.com,"satire, satire, "
1639,theusa-news,theusa-news.com,", fake news, fake, "
1640,theusaconservative,theusaconservative.com,", fake news, "
1641,The US Patriot,theuspatriot.com,"questionable, satire, fake, "
1642,US Political Post,theuspoliticalpost.com,"left, "
1643,thevalleyreport,thevalleyreport.com,", satire, "
1644,The Verge,theverge.com,"left_center, "
1645,The Walrus,thewalrus.ca,"left, "
1646,thewashingtonpress,thewashingtonpress.com,", imposter site, fake, "
1647,thewatchtowers,thewatchtowers.com,", bias, conspiracy, clickbait, "
1648,The Week,theweek.com,"left_center, "
1649,The West Australian,thewest.com.au,"right_center, "
1650,The Whim,thewhim.com,"least_biased, "
1651,Think Progress,thinkprogress.org,"left, political, "
1652,Third Way,thirdway.org,"least_biased, "
1653,This,this.org,"left, "
1654,The Zero Hour,thisisthezerohour.com,"left_center, "
1655,threepercenternation,threepercenternation.com,", fake, conspiracy, bias, "
1656,Thrive Movement,thrivemovement.com,"pseudoscience, "
1657,Time,time.com,"left_center, "
1658,The Times,times.com.mx,"satire, "
1659,times.com.mx,times.com.mx,", imposter site, fake, "
1660,Times-Colonist,timescolonist.com,"left_center, "
1661,Times of Israel,timesofisrael.com,"left_center, "
1662,Albany Times-Union,timesunion.com,"left_center, "
1663,Tell Me Now,tmn.today,"questionable, "
1664,tmzworldnews,tmzworldnews.com,", fake news, fake, "
1665,Today Dispatch,todaydispatch.com,"questionable, "
1666,To Inform is to Influence,toinformistoinfluence.com,"left_center, "
1667,Toledo Blade,toledoblade.com,"right_center, "
1668,TomDispatch.com,tomdispatch.com,"left_center, "
1669,tomwoods,tomwoods.com,", political, unrealiable, "
1670,topekasnews,topekasnews.com,", satire, "
1671,Topinfo Post,topinfopost.com,"pseudoscience, clickbait, unreliable, conspiracy, "
1672,Toronto Sun,torontosun.com,"right, "
1673,Towleroad,towleroad.com,"left, "
1674,Townhall,townhall.com,"right, "
1675,Transparency International,transparency.org,"least_biased, "
1676,Transpartisan Review,transpartisanreview.com,"least_biased, "
1677,Pittsburgh Tribune Review,triblive.com,"right_center, "
1678,Tribunist,tribunist.com,"right, "
1679,Ring of Fire,trofire.com,"left, "
1680,True Activist,trueactivist.com,"questionable, clickbait, unreliable, "
1681,trueamericans,trueamericans.me,", fake news, fake, "
1682,True Pundit,truepundit.com,"pseudoscience, bias, clickbait, "
1683,True Trumpers,truetrumpers.com,"questionable, fake news, fake, "
1684,Departed (Maganews.com),trumpers.online,"questionable, "
1685,trumpvision365,trumpvision365.com,", fake, "
1686,TruNews,trunews.com,"pseudoscience, "
1687,Truth Out,truth-out.org,"left, "
1688,Truth and Action,truthandaction.org,"questionable, bias, conspiracy, clickbait, "
1689,Truth Bang,truthbang.net,"satire, "
1690,Truth Be Told,truthbetold.news,"least_biased, "
1691,Truth Broadcasting Network,truthbroadcastnetwork.com,"pseudoscience, conspiracy, clickbait, "
1692,Truth Channel Politics,truthchannelpolitics.com,"pseudoscience, "
1693,Truthdig,truthdig.com,"left, "
1694,Truth Examiner,truthexaminer.com,"questionable, "
1695,TruthFeed,truthfeed.com,"questionable, hate, bias, conspiracy, "
1696,truthfrequencyradio,truthfrequencyradio.com,", conspiracy, "
1697,Truth In Media,truthinmedia.com,"right, "
1698,truthkings,truthkings.com,", bias, conspiracy, junksci, "
1699,Truth Monitor,truthmonitor.com,"questionable, "
1700,Truth Revolt,truthrevolt.org,"questionable, bias, hate, "
1701,Arizona Daily Star,tucson.com,"left_center, "
1702,Turkey and Facts (Dogruluk Payi),turkeyandfacts.com,"least_biased, "
1703,TVW Washington State,tvw.org,"least_biased, "
1704,Twitchy,twitchy.com,"right, clickbait, rumor, "
1705,Union of Concerned Scientists,ucsusa.org,"pro_science, "
1706,ufoholic,ufoholic.com,", conspiracy, "
1707,United Federation of Teachers (UFT),uft.org,"left_center, "
1708,Unbiased America,unbiasedamerica.com,"right, "
1709,Uncle Sam’s Misguided Children,unclesamsmisguidedchildren.com,"questionable, bias, "
1710,unconfirmedsources,unconfirmedsources.com,", satire, "
1711,Underground Health,undergroundhealth.com,"pseudoscience, "
1712,The Underground Report,undergroundnewsreport.com,"satire, "
1713,undergroundnewsreport,undergroundnewsreport.com,", fake news, fake, "
1714,undergroundworldnews,undergroundworldnews.com,", fake, conspiracy, bias, "
1715,Understand Reality Through Science,understandrealitythroughscience.blogspot.com,"pro_science, "
